# refreshed_at	sub	tier	weekly_stacked	days_in_window	avg_daily_stacked
2026-05-12T10:14:29.932Z	bitcoin	1	71128	7	10161
2026-05-12T10:14:29.932Z	bitcoin_beginners	1	13094	7	1871
2026-05-12T10:14:29.932Z	bitcoin_Mining	1	7465	7	1066
2026-05-12T10:14:29.932Z	bitcoinplusplus	1	6298	7	900
2026-05-12T10:14:29.932Z	bitdevs	1	4834	7	691
2026-05-12T10:14:29.932Z	lightning	1	15181	7	2169
2026-05-12T10:14:29.932Z	mempool	1	0	7	0
2026-05-12T10:14:29.932Z	nostr	1	4312	7	616
2026-05-12T10:14:29.932Z	security	1	3094	7	442
2026-05-12T10:14:29.932Z	privacy	1	8210	7	1173
2026-05-12T10:14:29.932Z	devs	1	2937	7	420
2026-05-12T10:14:29.932Z	tech	1	11575	7	1654
2026-05-12T10:14:29.932Z	AI	1	15133	7	2162
2026-05-12T10:14:29.932Z	openagents	1	7	7	1
2026-05-12T10:14:29.932Z	meta	1	14461	7	2066
2026-05-12T10:14:29.932Z	math	2	12259	7	1751
2026-05-12T10:14:29.932Z	science	2	2315	7	331
2026-05-12T10:14:29.932Z	econ	2	22745	7	3249
2026-05-12T10:14:29.932Z	Construction_and_Engineering	2	1267	7	181
2026-05-12T10:14:29.932Z	Education	2	2971	7	424
2026-05-12T10:14:29.932Z	Stacker_Stocks	2	28387	7	4055
2026-05-12T10:14:29.932Z	charts_and_maps	2	9314	7	1331
2026-05-12T10:14:29.932Z	AMA	2	788	7	113
2026-05-12T10:14:29.932Z	AskSN	2	12002	7	1715
2026-05-12T10:14:29.932Z	jobs	2	7000	7	1000
2026-05-12T10:14:29.932Z	ideasfromtheedge	2	493	7	70
2026-05-12T10:14:29.932Z	dotnet	2	0	7	0
2026-05-12T10:14:29.932Z	Design	2	316	7	45
2026-05-12T10:14:29.932Z	tutorials	2	18	7	3
2026-05-12T10:14:29.932Z	mostly_harmless	2	50	7	7
2026-05-12T10:14:29.932Z	news	2	4871	7	696
2026-05-12T10:14:29.932Z	history	2	8965	7	1281
2026-05-12T10:14:29.932Z	BooksAndArticles	2	12496	7	1785
2026-05-12T10:14:29.932Z	podcasts	2	2242	7	320
2026-05-12T10:14:29.932Z	lol	2	3816	7	545
2026-05-12T10:14:29.932Z	Memes	2	849	7	121
