# refreshed_at	name	nitems	stacked	spent	streak
2026-05-04T04:39:41.725Z	k00b	45	105866	134459	1071
2026-05-04T04:39:41.725Z	Scoresby	121	61311	123258	335
2026-05-04T04:39:41.725Z	grayruby	277	41692	32751	893
2026-05-04T04:39:41.725Z	0xbitcoiner	145	40774	9431	0
2026-05-04T04:39:41.725Z	BlokchainB	179	35442	107205	929
2026-05-04T04:39:41.725Z	optimism	71	24383	16246	0
2026-05-04T04:39:41.725Z	SimpleStacker	100	19511	10992	156
2026-05-04T04:39:41.725Z	art	8	12833	1223	0
2026-05-04T04:39:41.725Z	allenf	26	8367	923	0
2026-05-04T04:39:41.725Z	Wumbo	3	7199	524	0
2026-05-04T04:39:41.725Z	realBitcoinDog	47	7190	1379	2
2026-05-04T04:39:41.725Z	m0wer	15	7128	378	1
2026-05-04T04:39:41.725Z	Signal312	22	6375	3260	0
2026-05-04T04:39:41.725Z	Aardvark	1	6153	142	0
2026-05-04T04:39:41.725Z	OneOneSeven	6	5788	5158	28
2026-05-04T04:39:41.725Z	bitcoinplebdev	0	5518	0	0
2026-05-04T04:39:41.725Z	WeAreAllSatoshi	86	5451	10127	79
2026-05-04T04:39:41.725Z	Cje95	28	5385	966	0
2026-05-04T04:39:41.725Z	winteryeti	37	5204	1251	3
2026-05-04T04:39:41.725Z	OT	26	4555	4691	99
2026-05-04T04:39:41.725Z	BITC0IN	25	4525	440	0
2026-05-04T04:39:41.725Z	Bell_curve	25	4261	2684	6
2026-05-04T04:39:41.725Z	cryotosensei	47	3915	1540	27
2026-05-04T04:39:41.725Z	suraz	21	3892	1473	12
2026-05-04T04:39:41.725Z	NEEDcreations	23	3888	3786	3
2026-05-04T04:39:41.725Z	gsc360	80	3806	2144	7
2026-05-04T04:39:41.725Z	south_korea_ln	6	3744	1182	0
2026-05-04T04:39:41.725Z	chris21million	39	3679	1517	0
2026-05-04T04:39:41.725Z	Coinsreporter	16	3613	620	0
