# refreshed_at	name	stacked	active_subs
2026-05-18T16:45:25.671Z	k00b	72736	bitcoin,jobs,tech,meta,nostr
2026-05-18T16:45:25.671Z	Scoresby	33710	
2026-05-18T16:45:25.671Z	BlokchainB	28290	Stacker_Stocks,Construction_and_Engineering,history
2026-05-18T16:45:25.671Z	grayruby	25646	Stacker_Sports
2026-05-18T16:45:25.671Z	0xbitcoiner	21326	
2026-05-18T16:45:25.671Z	SimpleStacker	15801	math
2026-05-18T16:45:25.671Z	realBitcoinDog	10028	HealthAndFitness
2026-05-18T16:45:25.671Z	billytheked	7463	the_stacker_muse
2026-05-18T16:45:25.671Z	apruden2008	7217	
2026-05-18T16:45:25.671Z	gsc360	6809	
2026-05-18T16:45:25.671Z	justin_shocknet	6770	
2026-05-18T16:45:25.671Z	Aardvark	5742	AskSN
2026-05-18T16:45:25.671Z	WeAreAllSatoshi	5453	
2026-05-18T16:45:25.671Z	OneOneSeven	5252	charts_and_maps,aliens_and_UFOs
2026-05-18T16:45:25.671Z	TNStacker	4635	Photography
2026-05-18T16:45:25.671Z	plebpoet	4339	
2026-05-18T16:45:25.671Z	joyfam	4242	
2026-05-18T16:45:25.671Z	bitcoinplebdev	4172	devs
2026-05-18T16:45:25.671Z	Cje95	4154	
2026-05-18T16:45:25.671Z	davidw	3980	privacy
