# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1509059	bitcoinplusplus	1	1154	0	0	11.1	462245	279	recent@bitcoinplusplus|top@bitcoinplusplus	HOT,SIGNAL	New Specs for Marmot — Last Week in Bitcoin (Jun 08 - 14)
1509192	bitcoin	1	869	0	2	3.3	74100	10516	recent@bitcoin|top@bitcoin	SIGNAL	The Merge - Hodlonaut
1509041	tech	1	737	0	0	11.5	144357	4275	recent@tech|top@tech	SIGNAL	Open Tab: Kevin Kelly
1509127	events	3	645	0	2	8.8	74100	10516	recent@bitcoin|top@bitcoin|recent@bitdevs	SIGNAL	Austin Bitdevs Underground: June edition! - THURSDAY 6PM!
1509187	bitcoin	1	485	0	2	3.7	1509182	2	recent@bitcoin|top@bitcoin	SIGNAL	STRC reconstructs the Cantillon Effect on top of Bitcoin
1509169	bitcoin	1	484	0	0	5.6	74100	10516	recent@bitcoin|top@bitcoin|recent@bitdevs	SIGNAL	Testnet5 BIP Draft
1509052	privacy	1	261	0	2	11.3	7693	2358	recent@privacy|top@privacy	SIGNAL	TOS;DR - Terms of Service; Didn't Read
1509215	lol	2	100	0	0	1.4	263526	388	recent@lightning|top@lightning	FRESH,SIGNAL	When the vendor listed on BTCmap.org doesn't accept bitcoin over the LN
1509011	lightning	1	1235	0	8	12.5	1011637	30	recent@lightning|top@lightning	HOT	How the Lightning Network actually works (interactive)
1508859	charts_and_maps	2	1165	0	13	16.5	280679	22012	recent@bitcoin_Mining|top@bitcoin_Mining	HOT,SELF_POST_OPP	Bitcoin Mining Difficulty Drops by 10.09%
1508889	bitcoin	1	1054	0	3	15.9	900202	2382	recent@bitcoin|top@bitcoin	HOT	Saddest decentralized currency (tie)
1508979	privacy	1	1028	0	2	13.6	187661	210	recent@privacy|top@privacy	HOT	Found my new favorite to-do app; Mindwtr is FOSS and cross platform
1508742	lightning	1	1010	0	15	19.4	263526	388	recent@lightning|top@lightning	HOT	Pay using Bitcoin Lightning with 94,000,000 GCash users in the Philippines
1508692	bitcoin_Mining	1	975	0	8	22.2	561154	553	recent@bitcoin_Mining|top@bitcoin_Mining		Ocean mining address reuse
1508664	bitcoin	1	904	0	0	25.3	129794	71	recent@bitcoin		BOLT12 Pay: Amountless Offers Successfully Tested with OCEAN DATUM and CLN
1508941	Stacker_Sports	3	777	0	12	14.6	1202928	210	recent@lightning|top@lightning	SELF_POST_OPP	Maintenance Alert: Predyx is Temporarily Down for Maintenance
1509003	bitcoin	1	600	0	0	12.9	483644	74	recent@bitcoin|top@bitcoin		Amulet Arsenal: an offline, single-file(s) Bitcoin self-custody suite
1508800	devs	1	378	0	2	17.9	74100	10516	recent@devs|top@devs		Google Earth adds flight simulator for web
1509016	bitcoin	1	374	0	1	12.2	1509016	2	recent@bitcoin|top@bitcoin		Free, independent table of every Bitcoin-collateral lender — feedback wanted
1508984	tech	1	349	0	0	13.3	12309	3514	recent@devs|top@devs|recent@tech		Arch Linux AUR Hit By Another Wave Of Now More Sophisticated Malware Attack
1508902	bitcoin	1	342	0	0	15.6	1508861	3	recent@bitcoin|top@bitcoin		Get paid
1508867	bitcoin	1	330	0	0	16.3	178	906	recent@bitcoin|top@bitcoin		Bitcoin Tech Talk #505: Sellouts, Inconvenient Babies, Female Maturity and more!
1509017	tech	1	308	0	0	12.2	1293586	1924	recent@tech|top@tech		How and when macOS will finally stop support for Intel apps
