# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1517658	meta	1	282	0	0	5.9	36151	1536	recent@meta|top@meta	SIGNAL	This Day on SN: July 1
1517427	lightning	1	1355	0	10	20.5	263526	445	recent@lightning|top@lightning	HOT	Best Bolt12 wallet
1517590	bitcoin	1	1008	0	0	13.0	74100	10924	recent@bitcoin|top@bitcoin	HOT	The first Bitcoin Taproot spend transactions - jaonoctus
1517188	bitcoin	1	1000	0	28	28.4	30782	25022	recent@bitcoin	HOT	Jeff Booth Weighs In On BIP 110, Knots & Gloria
1517302	AI	1	933	0	3	24.5	74100	10924	recent@AI		What Charlie and the Chocolate Factory says about AI
1517396	bitcoin	1	744	0	4	21.4	74100	10924	recent@bitcoin|top@bitcoin|recent@bitdevs		nickler (Jonas Nick) steps down as maintainer of libsecp256k1
1517500	AI	1	733	0	1	17.1	241	2830	recent@AI|top@AI		Gemma 4 on Cerebras
1517304	AI	1	578	0	0	24.5	13531	1656	recent@tech|recent@AI		Here’s a photo of OpenAI’s Codex hardware.
1517192	AI	1	573	0	2	28.1	401865	8213	recent@AI		Build From Anywhere with Cursor For iOS
1517401	AI	1	570	0	4	21.2	12309	3563	recent@AI|top@AI		We can finally say AI isn't killing jobs.
1517460	bitcoin	1	562	0	2	19.2	8306	1138	recent@bitcoin|top@bitcoin		BITCOIN SEASON - Bitcoin’s infiltration of America’s sports business | Trailer
1517328	bitcoin	1	552	0	3	23.6	74100	10924	recent@bitcoin|top@bitcoin		BIP Proposal: Bitcoin Infinity (expiring transactions) - Ricard
1517430	lightning	1	515	0	2	20.3	263526	445	recent@lightning|top@lightning		Some doubts and questions that I have about the Phoenix Wallet.
1517244	lightning	1	433	0	3	26.7	440729	179	recent@lightning		Biggest Channel Opened Today (5.0 BTC) + New Node Spotlight (03b07959b27ea0346…)
1517426	bitcoin	1	396	0	5	20.5	74100	10924	recent@bitcoin|top@bitcoin|recent@lightning		How to start and run a new Cashu mint (guide) - Orchard
1517356	bitcoin	1	337	0	0	22.4	280679	22296	recent@bitcoin|top@bitcoin		Egge’s Bitcoin Journey: From Marketer to Cashu Maintainer
1517350	tech	1	287	0	0	22.7	12309	3563	recent@tech|top@tech		Sony's First LOFIC Image Sensor Promises Nearly 17 Stops of Dynamic Range
1517359	nostr	1	240	0	0	22.2	1496326	8	recent@nostr|top@nostr		Cordn: New message info sidebar, threads, reactions, and more✨
1517399	bitcoin_beginners	1	138	0	0	21.3	296825	4745	recent@bitcoin_beginners|top@bitcoin_beginners|recent@lightning		ZAPPI Wallet Betta Is Now Live
1517232	bitcoin_beginners	1	138	0	1	27.1	296825	4745	recent@bitcoin_beginners		Bitcoin Inheritance Finally Made Simple - Coconut Wallet
1517621	AI	1	67	0	4	9.1	1	26757	recent@AI|top@AI		Redeploying Claude Fable 5
1517606	bitcoin	1	57	0	0	11.8	1517606	3	recent@bitcoin_beginners|top@bitcoin_beginners		Building a non-nonsense "pass-along" Bitcoin brochure. What am I missing?
1517420	AI	1	36	0	0	20.6	296825	4745	recent@bitcoin_beginners|top@bitcoin_beginners|recent@AI		Mesh-LLM: Distributed AI/LLM for the people. Share compute privately or publicly
1517144	bitcoin_beginners	1	36	0	0	31.9	296825	4745	recent@bitcoin_beginners|recent@lightning		NostrWolfe — Agent Commerce Layer for Nostr
1517137	bitcoin_beginners	1	36	0	0	32.4	296825	4745	recent@bitcoin_beginners|recent@lightning		Going live in 5 Hours: The latest project updates about Mostro Community
1517143	bitcoin_beginners	1	36	0	0	32.1	296825	4745	recent@bitcoin_beginners		Another Bitcoin Education Initiative For Beginners
1517166	lightning	1	36	0	0	29.6	1517166	1	recent@lightning		https://lightning.news/lightning-the-final-frontier/
1517630	lightning	1	21	0	0	8.1	70864	347	recent@lightning|top@lightning		Release 5.0.1: Valet with flavors - Regtest, Testnet3, Testnet4
1517643	bitcoin_beginners	1	19	0	1	6.9	296825	4745	recent@bitcoin_beginners|top@bitcoin_beginners		Why Keonne Rodriguez Is in Prison for Building Samourai Wallet
1517718	bitcoin_beginners	1	0	0	0	3.0	894285	148	recent@bitcoin_beginners|top@bitcoin_beginners		Free Poison — 1. The Free Thing Is The Trap
1517632	bitcoin_beginners	1	0	0	0	7.8	1473003	31	recent@bitcoin_beginners|top@bitcoin_beginners		An analysis of the Funding Rate in cryptocurrency perpetual futures
1517615	bitcoin	1	0	0	1	10.7	1401899	191	recent@bitcoin_Mining|top@bitcoin_Mining		Bitcoin Stories — How Iran Became an Accidental Mining Powerhouse
1517474	bitcoin	1	0	0	0	18.8	1495204	11	recent@lightning|top@lightning		Lightning: The Final Frontier
1517717	gaming	3	0	0	2	3.0	163128	3630	recent@lightning|top@lightning		1-SAT RUNNER
1517735	lightning	1	0	0	0	2.7	440729	179	recent@lightning|top@lightning		Biggest Channel Opened Today (7.5 BTC) + New Node Spotlight (02719f6b60955e647…)
1517160	security	1	0	0	0	30.0	297791	7600	recent@security		Why Post-Quantum Cryptography Starts With Credentials
1517687	AI	1	0	0	0	4.8	280679	22296	recent@AI|top@AI		Claude Helped a Hacker Find a Way to Issue Tickets to Almost Every US Music Fest
1517208	AI	1	0	0	0	27.7	280679	22296	recent@AI		BIS | How the AI bubble could pop and take down the global economy
