# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1518188	DIY	3	10219	0	12	5.7	719829	298	recent@devs|top@devs	HOT,SIGNAL,SELF_POST_OPP	Plunda.co has a new home!
1518130	bitcoin	1	2831	0	1	11.2	593189	831	recent@bitcoin|top@bitcoin	HOT,SIGNAL	Money Laundering Index (Orlin Grabbe archive, 1990s cypherpunk)
1518135	bitcoin	1	2574	0	3	10.8	190751	46	recent@bitcoin|top@bitcoin	HOT,SIGNAL	NO CONSENSUS FOR CONSENSUS CLEANUP
1518216	Stacker_Sports	3	1002	0	3	4.1	724606	11095	recent@econ|top@econ	HOT,SIGNAL	Prediction Markets Are How We Know What We Know (Bloomberg, Christopher Beam)
1518162	charts_and_maps	2	826	0	3	8.0	241	2833	recent@Stacker_Stocks|top@Stacker_Stocks|recent@charts_and_maps	SIGNAL	Trump outearned every publicly traded crypto firm in 2025
1518186	AI	1	491	0	1	5.7	297791	7603	recent@AI|top@AI	SIGNAL	OpenAI proposes 5% stake to Trump administration to ease Washington pressure
1518171	Politics_And_Law	3	391	0	0	6.8	147412	1418	recent@history|top@history	SIGNAL	The Benefits for maintaining the Business of Continuous Wars
1518157	bitcoin_beginners	1	240	0	1	8.5	296825	4747	recent@bitcoin_beginners|top@bitcoin_beginners|recent@bitdevs	SIGNAL	On Bridging The Gap Between Devs And Users
1518282	history	2	240	0	0	0.9	1512518	34	recent@history|top@history	FRESH,SIGNAL	Daily Bitcoin Lore (8 years ago): Voorhees Defeats Schiff at the Soho Forum
1518189	lightning	1	233	0	0	5.6	163128	3633	recent@lightning|top@lightning	SIGNAL	BareBits/electrum_clink: A CLINK/noffer plugin for electrum
1518271	Design	2	204	0	0	1.2	383547	3285	recent@Design|top@Design	FRESH,SIGNAL	On the semantic web
1518241	Stacker_Stocks	2	135	0	3	2.1	38951	2222	recent@Stacker_Stocks|top@Stacker_Stocks	SIGNAL	Trump is the most openly corrupt politician in history
1517846	bitcoin	1	4700	0	2	21.8	1014665	198	recent@bitcoin|top@bitcoin	HOT	LND DoS bug, libevent removal, Q&A - Bitcoin Optech Newsletter #411 Podcast
1517707	econ	2	2393	0	26	25.9	88718	44922	recent@econ	HOT	Top June ~Econ Posts
1517667	Stacker_Stocks	2	2058	0	6	28.2	724606	11095	recent@econ|recent@Stacker_Stocks	HOT,SELF_POST_OPP	The Bitcoin Bank Run on Strategy and STRC (Money Stuff, Matt Levine)
1517824	bitcoin	1	1639	0	6	22.7	1242375	100	recent@bitcoin|top@bitcoin	HOT	What would you put in your genesis block?
1517897	bitcoin	1	1584	0	14	19.7	74100	10961	recent@bitcoin|top@bitcoin|recent@econ	HOT	Bitcoin Is Not Freedom: The Delusion of Digital Escape - Mises Institute
1517660	econ	2	1581	0	3	28.4	724606	11095	recent@econ	HOT	Strategy and the Death of the Bitcoin Treasury Company (Barron's, Tatananni)
1517976	AI	1	1539	0	2	17.8	724606	11095	recent@AI|top@AI|recent@econ	HOT	Let AI Generate Your World Cup Predictions (FT, Louis Ashworth)
1518020	bitcoin	1	1502	0	13	17.0	223678	5745	recent@bitcoin|top@bitcoin|recent@mempool	HOT	Nice watch-only bitcoin wallet
1517738	bitcoin	1	1346	0	10	25.0	74100	10961	recent@bitcoin|recent@history	HOT	Reflections Upon Bitcoin's Block Size Debate
1518114	lightning	1	1205	0	7	12.3	223678	5745	recent@lightning|top@lightning	HOT	1 Dumb mistake = nuked my entire lightning node privacy?
1517775	Politics_And_Law	3	1181	0	9	24.2	724606	11095	recent@econ	HOT,SELF_POST_OPP	Retire the Seniors, Not the Student Debt! (WSJ, Oyin Adedoyin)
