# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1522806	meta	1	944	0	2	8.2	92827	2745	recent@meta|top@meta	SIGNAL	Fire Up the Printer - SNZ #64!
1522136	math	2	3175	0	2	33.4	1522136	1	recent@bitcoin|recent@bitdevs	HOT	The secp256k1 first commit: modular inversion via Fermat's Little Theorem
1522410	AI	1	2202	0	10	19.6	724606	11359	recent@AI|top@AI	HOT	It's Not Clear Where the Returns to AI Go (Economic Forces, Brian Albrecht)
1522318	bitcoin	1	1554	0	1	22.5	1014665	201	recent@bitcoin|top@bitcoin	HOT	Fountain codes for IBD - Bitcoin Optech Newsletter #413
1522462	lightning	1	1204	0	10	18.5	1028548	496	recent@lightning|top@lightning	HOT	Taproot Lightning Channel Question
1522258	bitcoin	1	1138	0	0	24.4	1495204	15	recent@bitcoin|recent@lightning	HOT	The Evolution Of The Bitcoin Lightning Network
1522342	DIY	3	994	0	0	21.3	719829	315	recent@devs|top@devs		Behind the scenes at Plunda HQ - getting things setup!
1522197	AI	1	926	0	11	30.6	1	26819	recent@AI		Robot hands with 25 degrees of freedom, gear tendons, and force feedback
1522108	privacy	1	844	0	18	34.4	1242375	106	recent@privacy		The surveillance state is getting more aggressive, how will you defend yourself?
1522471	bitcoin	1	802	0	1	18.4	24585	357	recent@bitcoin|top@bitcoin|recent@lightning		Latest Strikes 27 - June 29th - July 5th 2026
1522670	bitcoin	1	776	0	5	13.7	1	26819	recent@bitcoin|top@bitcoin		Theymos AMA from 2013
1522514	AI	1	759	0	29	17.6	88718	45226	recent@AI|top@AI		What's the best Replit-like tool?
1522053	bitcoin	1	720	0	4	35.4	74100	11105	recent@bitcoin|recent@bitcoin_Mining		Turn excess solar into sats - schnitzel
1522638	math	2	601	0	0	14.6	74100	11105	recent@bitcoin|top@bitcoin		BIP Draft: Full-Aggregation of BIP 340 Signatures - fjahr
1522372	lightning	1	460	0	5	20.6	440729	189	recent@lightning|top@lightning		Biggest Channel Opened Today (5.0 BTC) + New Node Spotlight (02203e5af7c8e8529…)
1522574	bitcoin	1	454	0	1	16.7	74100	11105	recent@bitcoin|top@bitcoin		📣 AMA Announcement: Luke de Wolf, author of Defending Bitcoin - 1PM MONDAY!
1522278	bitcoin_beginners	1	322	0	2	23.8	30782	25091	recent@bitcoin_beginners|top@bitcoin_beginners		Bitcoin Beginners Newsletter, Issue 108
1522228	AI	1	286	0	0	26.3	1054143	974	recent@AI		Meta jumps into AI coding market in effort to chase Anthropic and OpenAI
1522700	bitcoin	1	271	0	0	12.7	144357	4333	recent@bitcoin|top@bitcoin		Pegasus used against EU Pegasus investigator | SNL #232
1522649	nostr	1	204	0	0	14.3	16035	43	recent@nostr|top@nostr		Community organizers: help us build Flotilla by signing up for an interview
1522105	AI	1	189	0	0	34.5	9274	24621	recent@AI		McLaren Construction deploys autonomous robots on its sites
1522493	bitcoin	1	157	0	3	18.0	296825	4810	recent@bitcoin_beginners|top@bitcoin_beginners		Why Are Shitcoin Promoters Paid More Than Bitcoin Educators?
1522243	bitcoin_beginners	1	153	0	0	25.0	296825	4810	recent@bitcoin_beginners		Bitcoin for Individuals - Bitcoin
1522234	lightning	1	153	0	5	25.6	263526	465	recent@lightning		Revolut + Lightning: Good News or a Trojan Horse for Bitcoin Privacy?
1522577	bitcoin_beginners	1	150	0	4	16.6	296825	4810	recent@bitcoin_beginners|top@bitcoin_beginners		Bitcoin is a Ponzi Scheme
