# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1528989	tech	1	1996	0	11	1.9	88718	45584	recent@tech|top@tech	FRESH,HOT,SIGNAL	Where do ISP's get their internet from?
1528896	bitcoin	1	1864	0	22	3.3	74100	11391	recent@bitcoin|top@bitcoin	HOT,SIGNAL	How many onchain transactions have you done in the last month?
1528682	bitcoin	1	1452	0	25	8.5	74100	11391	recent@bitcoin|top@bitcoin	HOT,SIGNAL	Another Bitcoin company pivots to AI
1528695	AI	1	1255	0	3	8.3	12315	2289	recent@AI|top@AI	HOT,SIGNAL	AI disproved the Jacobian conjecture
1528542	AI	1	1189	0	2	10.9	303620	6194	recent@AI|top@AI	HOT,SIGNAL	Quiet, My Exoself
1528547	bitcoin	1	1063	0	1	10.9	593189	843	recent@bitcoin|top@bitcoin	HOT,SIGNAL	Slovakia’s land registry hit by biggest cyberattack in country’s history (2025)
1528939	AI	1	759	0	5	2.6	241	2859	recent@AI|top@AI	SIGNAL	Share of US Households with Paid AI Subscriptions
1528556	bitcoin	1	728	0	4	10.8	593189	843	recent@bitcoin|top@bitcoin	SIGNAL	Hacker wipes Romania's entire land registry database
1528587	AI	1	718	0	4	10.0	401865	8295	recent@AI|top@AI	SIGNAL	AMD Launches its First Rack AI System Helios to Rival Nvidia w/ Microsoft Buying
1528504	lightning	1	399	0	1	11.9	440729	200	recent@lightning|top@lightning	SIGNAL	Biggest Channel Opened Today (5.0 BTC) + New Node Spotlight (025d5cf3f190de306…)
1528715	bitcoin_beginners	1	334	0	2	7.8	296825	4896	recent@bitcoin_beginners|top@bitcoin_beginners|recent@lightning	SIGNAL	Getting Started with LDK Node: Building a Lightning Node in Rust
1528908	bitcoin	1	305	0	1	3.1	74100	11391	recent@bitcoin|top@bitcoin|recent@lightning	SIGNAL	What Does BIP110 Mean for the Lightning Network? - Amboss
1528867	openagents	1	290	0	2	4.0	534967	220	recent@openagents|top@openagents	SIGNAL	Episode 259: Verifiable Software
1528724	bitcoin_beginners	1	268	0	2	7.6	296825	4896	recent@bitcoin_beginners|top@bitcoin_beginners	SIGNAL	"Michael Saylor is the Next Rockefeller. And that is not a good thing"
1528953	bitcoin	1	206	0	0	2.4	74100	11391	recent@bitcoin|top@bitcoin	SIGNAL	Bitcoin Butlers — Self-Custody Made Simple
1528800	bitcoin	1	164	0	2	5.5	739506	133	recent@bitcoin|top@bitcoin	SIGNAL	BTC vote: Do you support the Senate version of the CLARITY Act?
1528736	bitcoin_beginners	1	161	0	1	7.3	296825	4896	recent@bitcoin_beginners|top@bitcoin_beginners|recent@bitcoin_Mining	SIGNAL	Why mempool.space Matters for Bitcoin Users
1528757	podcasts	2	138	0	0	6.7	296825	4896	recent@bitcoin_beginners|top@bitcoin_beginners|recent@lightning	SIGNAL	Podcasts about Cashu and Privacy - Cashu.space
1528296	the_stacker_muse	3	3700	0	22	24.1	900202	2490	recent@bitcoin	HOT	Steak 'n Shake: First Time
1528382	events	3	2660	0	5	18.1	1528382	1	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners	HOT,SELF_POST_OPP	Bitcoin Center Seoul - A Space for ₿itcoiners in Seoul, Korea 🇰🇷
1528331	bitcoin	1	2563	0	17	22.3	74100	11391	recent@bitcoin|top@bitcoin	HOT	Feb update to RDTS may have added undocumented consensus rule change
1527952	meta	1	1881	0	41	33.6	88988	46010	recent@meta	HOT	Down zap Mania
1528282	AI	1	630	0	7	25.2	303620	6194	recent@AI		Young Chinese Forced to End AI Relationships
1528188	lightning	1	602	0	0	28.0	280679	22498	recent@lightning		Vulnerability Disclosure: Twin Memory Exhaustion DoS Vulnerabilities in CLN
1528500	bitcoin	1	577	0	3	12.3	74100	11391	recent@bitcoin|top@bitcoin|recent@bitcoin_Mining		Hammer Miner BC04 Review | Quiet 6 TH/s Home Bitcoin Miner
1528117	AI	1	286	0	1	29.4	9274	25132	recent@AI		Concrete Contractors Using AI: The Adoption Guide
1528415	meta	1	279	0	1	15.2	36151	1560	recent@meta|top@meta		This Day on SN: July 20
1527854	lightning	1	276	0	2	35.9	440729	200	recent@lightning		Biggest Channel Opened Today (5.0 BTC) + New Node Spotlight (0336b6b6513430196…)
1528401	bitcoin	1	240	0	2	16.1	1528401	1	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners		Coconut Wallet: bitcoin watch-only wallet
1527970	bitcoin_beginners	1	174	0	0	33.1	296825	4896	recent@bitcoin_beginners		CD206: ERIC SIRION, JOSCHA, AND HERMANN - FEDIMINT IN THE WILD
1528214	bitcoin_beginners	1	161	0	0	27.6	296825	4896	recent@bitcoin_beginners|recent@bitcoin_Mining		The Bitcoin Miner Debt Trap: Why Borrowing USD Creates Risk
1528189	bitcoin_beginners	1	128	0	1	28.0	296825	4896	recent@bitcoin_beginners|recent@bitdevs|recent@lightning		NADANADA.ME is searching for a new Lightning backend
1528230	bitcoin_beginners	1	83	0	8	27.4	1528230	13	recent@bitcoin_beginners		How to start accepting Bitcoin for my business?
1528748	bitcoin_beginners	1	78	0	1	6.9	296825	4896	recent@bitcoin_beginners|top@bitcoin_beginners|recent@bitcoin_Mining		Build Your Own Blocks: Set Up DMND End to End with StratumV2
1528530	bitcoin_beginners	1	36	0	0	11.2	296825	4896	recent@bitcoin_beginners|top@bitcoin_beginners		Export Deterministic Entropy (BIP-85)
1528453	bitcoin	1	36	0	0	14.2	1490792	300	recent@bitcoin_beginners|top@bitcoin_beginners		The Trojan horse of institutional Bitcoin adoption
1528398	bitcoin_beginners	1	36	0	0	16.3	296825	4896	recent@bitcoin_beginners|top@bitcoin_beginners|recent@bitdevs		Core Lightning Bitcoin Accounting & Taxes | Clams
1528402	bitcoin_beginners	1	36	0	0	15.9	296825	4896	recent@bitcoin_beginners|top@bitcoin_beginners		Understand Bitcoin's code. No engineering degree required.
1528231	art	3	36	0	0	27.4	296825	4896	recent@bitcoin_beginners		Relics Of A Revolution, Part IV: The Bank Was Already Burning
1528074	bitcoin_beginners	1	36	0	0	30.1	296825	4896	recent@bitcoin_beginners		Their whole trick is to get people to not use Bitcoin, but their stock instead
1528143	bitcoin_Mining	1	11	0	0	28.9	341578	5885	recent@bitcoin_Mining		It's already done, better flip that bit
1528716	lightning	1	0	0	0	7.8	163128	3662	recent@lightning|top@lightning		Getting Started with LDK Node: Building a Lightning Node in Rust
