# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1571857	AI	1	1773	0	1	11.0	900202	2776	recent@AI|top@AI	HOT,SIGNAL	open the frontier - jack (@jack) on X
1571856	news	2	826	0	2	11.1	297791	7764	recent@bitcoin|top@bitcoin	SIGNAL	MSTR Rethinks Financial Strategy Amid Market Uncertainties
1572076	bitcoin_Mining	1	800	0	2	1.5	280679	23316	recent@bitcoin_Mining|top@bitcoin_Mining	FRESH,SIGNAL	JPMorgan downgrades MARA to Underweight, cuts price target to $11
1572005	bitcoin	1	758	0	4	5.3	402772	22458	recent@bitcoin|top@bitcoin	SIGNAL	CoinEx is Shutting Down
1571907	AI	1	628	0	0	9.8	402772	22458	recent@AI|top@AI	SIGNAL	EU is set to propose ban on social media and AI chatbots for under-15s
1571957	AI	1	515	0	3	7.9	238412	258	recent@AI|top@AI	SIGNAL	The Rogue AI Era is Upon Us
1572118	bitcoin	1	393	0	1	0.5	1278854	313	recent@bitcoin|top@bitcoin	FRESH,SIGNAL	Revolut attackers are reportedly demanding 10,000 BTC in ransom
1572095	bitcoin_beginners	1	355	0	1	1.2	1444593	121	recent@bitcoin_beginners|top@bitcoin_beginners	FRESH,SIGNAL	🔥 Este correo de Trezor es phishing.
1571902	security	1	345	0	1	9.9	375687	3254	recent@security|top@security|recent@tech	SIGNAL	Tor VPN Beta
1571876	news	2	336	0	0	10.7	297791	7764	recent@devs|top@devs|recent@tech	SIGNAL	Homebrew 7.0.0 gets built-in GUI, better security controls
1572102	AI	1	319	0	1	1.0	9274	27451	recent@AI|top@AI	FRESH,SIGNAL	☢️ Apocalypse PBC - Snacks
1571916	AskSN	2	285	0	4	9.4	1532836	539	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners	SIGNAL	New Mostro update with fixes(Mostrix v0.3.2 is out! )
1572021	bitcoin	1	182	0	0	4.8	1554639	24	recent@bitcoin_beginners|top@bitcoin_beginners|recent@lightning	SIGNAL	Your LND seed backup exists. But have you actually verified it?
1572056	meta	1	120	0	0	2.2	36151	1633	recent@meta|top@meta	SIGNAL	This Day on SN: September 15
1572091	lightning	1	118	0	2	1.3	263526	725	recent@lightning|top@lightning	FRESH,SIGNAL	Introducing Lightning in the BitBoxApp
1571285	meta	1	7326	0	23	22.5	48657	15361	recent@meta|top@meta	HOT	Stacker News Monthly: August 2026
1571660	bitcoin	1	6506	0	2	16.0	280679	23316	recent@bitcoin|top@bitcoin	HOT	Wasabi Wallet Release v2.8.3
1571693	AskSN	2	2993	0	15	15.4	238412	258	recent@bitcoin|top@bitcoin	HOT,SELF_POST_OPP	Is lightning too complicated?
1571289	AskSN	2	2918	0	12	22.5	1011295	228	recent@bitcoin|top@bitcoin	HOT,SELF_POST_OPP	Looking for advice - upcoming Austin, TX trip
1571269	bitcoin	1	2187	0	6	22.8	934367	1038	recent@bitcoin|top@bitcoin	HOT	Would it be better if Bitcoin was "completely confidential"?
1571733	security	1	2073	0	2	14.5	1	27401	recent@bitcoin|top@bitcoin|recent@bitdevs	HOT	Running CLN? Disable --experimental-dual-fund, dual-funded (v2) channels
1571579	bitcoin	1	2037	0	10	17.7	934367	1038	recent@bitcoin|top@bitcoin	HOT	🇨🇭 Swiss Bitcoin Pay potentially hacked
1571477	bitdevs	1	1938	0	5	19.4	74100	12679	recent@bitdevs|top@bitdevs	HOT	The proposed BRCA changes are a tough pill to swallow
1571809	security	1	1845	0	3	12.3	30782	25769	recent@security|top@security	HOT	Trump Likes Flock Cameras
1571012	AskSN	2	1799	0	11	32.6	375687	3254	recent@bitcoin	HOT,SELF_POST_OPP	Do you think we’ve already seen the bottom for BTC?
1571676	math	2	1690	0	45	15.6	1562189	136	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners	HOT	Why Sat-Digital-Gold can't win without Nah•Sovereign•Diamond
1571532	AI	1	1426	0	8	18.6	144357	4548	recent@AI|top@AI	HOT	What happens after a town de-Flocks - the verge
1571574	lightning	1	1174	0	3	17.8	440729	263	recent@lightning|top@lightning	HOT	Biggest Channel Opened Today (2.5 BTC) + New Node Spotlight (03dbb470e0443dc2d…)
1570937	AskSN	2	683	0	29	34.5	1532836	539	recent@bitcoin|recent@bitcoin_beginners|recent@bitcoinplusplus		What happens when a Mostro dispute is opened? 🧌
1571280	tech	1	578	0	3	22.6	51481	4224	recent@tech|top@tech		Bluetooth Headphone Audio Lag
1571246	tech	1	550	0	0	23.2	68842	642	recent@tech|top@tech		Open and publish static websites that live in BitTorrent swarms
1571207	AI	1	451	0	1	24.3	401865	8519	recent@AI		China Rejects AI Slowdown Push, Alleging “Fearmongering” From The US
1571539	AI	1	378	0	5	18.5	12309	3677	recent@AI|top@AI		Sam Altman says Trump and Xi would win the Nobel Peace Prize for AI agreement
1571131	AI	1	354	0	0	26.4	934367	1038	recent@tech|recent@AI		OpenAI Agent Swarm Hacks RubyGems Package Manager
